,country,doing_business_score,gdppc,poptotal,starting_business_score
139,St. Vincent and the Grenadines,130.0,13462.5827670279,110593.0,93.0
140,Suriname,162.0,19036.7450382918,581363.0,182.0
141,Sweden,10.0,52850.5691792533,10278887.0,39.0
142,Switzerland,36.0,70944.3548128194,8575280.0,81.0
143,Tajikistan,106.0,3581.4091871048,9321023.0,36.0
144,Tanzania,141.0,2660.63745117188,58005461.0,162.0
145,Thailand,21.0,18438.6473807798,69625581.0,47.0
146,Timor-Leste,181.0,3626.67316234677,1293120.0,68.0
147,Tonga,103.0,6377.35552011179,104497.0,62.0
148,Trinidad and Tobago,105.0,26827.2941246177,1394969.0,79.0
149,Tunisia,78.0,11420.8497305607,11694721.0,19.0
150,Turkiye,34.0,28197.2488314389,83429607.0,77.0
151,Ukraine,64.0,12804.955078125,44386203.0,61.0
152,United Arab Emirates,16.0,68263.6755347175,9770526.0,17.0
153,United Kingdom,8.0,47368.5844114534,66836327.0,18.0
154,United States,6.0,62458.7533464664,328329953.0,55.0
155,Uruguay,101.0,23032.7340435597,3461731.0,66.0
156,Uzbekistan,69.0,7348.14688265697,33580350.0,8.0
157,Vanuatu,107.0,3116.59461848169,299882.0,137.0
158,Vietnam,70.0,10134.2590277869,96462108.0,115.0
159,West Bank and Gaza,117.0,6245.44869712345,4685306.0,173.0
160,Zimbabwe,140.0,2310.63480227045,14645473.0,167.0
